Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After,Country Code,Continent,Website_clean
https://bisemultan.edu.pk,Non-Compliant - No Consent Mechanism,No Granular Options Found,367,367,pk,Unknown,bisemultan.edu.pk
https://auis.edu.krd,Compliant,No Granular Options Found,365,365,unknown,Unknown,auis.edu.krd
https://kings.edu.au,Compliant,Granular Consent Evaluated,363,365,au,Oceania,kings.edu.au
https://nespmarine.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,370,370,au,Oceania,nespmarine.edu.au
https://mcc.edu.in,Compliant,Granular Consent Evaluated,370,369,in,Asia,mcc.edu.in
http://iuu.edu.mn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,mn,Unknown,iuu.edu.mn
https://presidio.edu,Compliant,No Granular Options Found,374,381,unknown,Unknown,presidio.edu
https://southerntech.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,372,372,unknown,Unknown,southerntech.edu
https://uts.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,376,376,unknown,Unknown,uts.edu
http://bakeridi.edu.au,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,au,Oceania,bakeridi.edu.au
https://ptbioch.edu.pl,Non-Compliant - No Consent Mechanism,No Granular Options Found,376,376,pl,Europe,ptbioch.edu.pl
http://minerva.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,minerva.edu
http://uob.edu.ly,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,391,391,ly,Unknown,uob.edu.ly
https://fui.edu.pk,Non-Compliant - No Consent Mechanism,No Granular Options Found,385,385,pk,Unknown,fui.edu.pk
https://beykoz.edu.tr,Non-Compliant - No Consent Mechanism,No Granular Options Found,390,390,tr,Unknown,beykoz.edu.tr
http://swcu.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,392,392,unknown,Unknown,swcu.edu
https://faculdadeagora.edu.br,Non-Compliant - No Consent Mechanism,No Granular Options Found,388,388,br,South America,faculdadeagora.edu.br
https://tu.edu.ly,Compliant,Granular Consent Evaluated,388,387,ly,Unknown,tu.edu.ly
http://aacm.edu.au,Compliant,Granular Consent Evaluated,395,393,au,Oceania,aacm.edu.au
http://udb.edu.sv,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,sv,Unknown,udb.edu.sv
https://ctuet.edu.vn,Non-Compliant - No Consent Mechanism,No Granular Options Found,387,387,vn,Unknown,ctuet.edu.vn
https://xcvtc.edu.cn,Non-Compliant - No Consent Mechanism,No Granular Options Found,391,391,cn,Asia,xcvtc.edu.cn
https://rumeli.edu.tr,Non-Compliant - No Consent Mechanism,No Granular Options Found,395,395,tr,Unknown,rumeli.edu.tr
http://cuc.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,cuc.edu
https://westtown.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,401,401,unknown,Unknown,westtown.edu
http://dcds.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,402,402,unknown,Unknown,dcds.edu
http://mpgu.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,mpgu.edu
https://sinhgad.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,392,392,unknown,Unknown,sinhgad.edu
https://wasatch.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,398,398,unknown,Unknown,wasatch.edu
http://vus.edu.vn,Compliant,No Granular Options Found,411,409,vn,Unknown,vus.edu.vn
http://wab.edu.pl,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,409,409,pl,Europe,wab.edu.pl
https://e-mentor.edu.pl,Compliant,No Granular Options Found,405,404,pl,Europe,e-mentor.edu.pl
https://iste.edu.tr,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,410,410,tr,Unknown,iste.edu.tr
http://bjpldx.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,bjpldx.edu.cn
https://douglasj.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,403,403,unknown,Unknown,douglasj.edu
http://jxut.edu.cn,Non-Compliant - No Consent Mechanism,No Granular Options Found,403,403,cn,Asia,jxut.edu.cn
http://standford.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,standford.edu
http://xafy.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,xafy.edu.cn
http://historydoc.edu.ru,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,ru,Unknown,historydoc.edu.ru
https://aucenter.edu,Compliant,Granular Consent Evaluated,402,402,unknown,Unknown,aucenter.edu
https://coffeyville.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,416,416,unknown,Unknown,coffeyville.edu
https://foresthills.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,409,409,unknown,Unknown,foresthills.edu
https://bethanyseminary.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,413,413,unknown,Unknown,bethanyseminary.edu
https://northshorecollege.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,408,408,unknown,Unknown,northshorecollege.edu
http://eespacomayo.edu.pe,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,pe,Unknown,eespacomayo.edu.pe
